Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.691928E+00     6.763438E-14     1.626083E-12     8.303785E-05     7.906517E-12     1.755510E-02     5.176726E-01     9.122208E-06  
   1.692615E+00     7.238609E-14     1.492389E-12     8.727543E-05     9.166031E-12     2.057577E-02     5.150658E-01     8.213254E-06  
   1.693174E+00     7.670598E-14     1.365587E-12     9.103717E-05     1.047656E-11     2.375382E-02     5.124330E-01     7.422464E-06  
   1.694013E+00     8.325708E-14     1.143085E-12     9.716593E-05     1.313327E-11     3.029340E-02     5.074392E-01     6.124876E-06  
   1.694835E+00     8.662135E-14     1.037183E-12     1.004548E-04     1.477266E-11     3.438915E-02     5.043204E-01     5.510295E-06  
   1.695359E+00     8.915494E-14     9.373876E-13     1.032342E-04     1.645584E-11     3.862688E-02     5.012428E-01     4.959563E-06  
   1.695883E+00     9.123286E-14     8.449227E-13     1.058151E-04     1.826166E-11     4.321155E-02     4.979670E-01     4.454327E-06  
   1.696407E+00     9.298311E-14     7.603182E-13     1.082035E-04     2.019781E-11     4.817142E-02     4.944213E-01     3.996751E-06  
   1.697212E+00     9.450179E-14     6.217294E-13     1.119516E-04     2.409434E-11     5.825873E-02     4.874434E-01     3.242663E-06  
   1.698026E+00     9.499129E-14     5.544353E-13     1.141194E-04     2.663635E-11     6.492822E-02     4.827817E-01     2.861311E-06  
   1.698569E+00     9.475146E-14     4.965892E-13     1.157695E-04     2.914885E-11     7.156954E-02     4.782209E-01     2.538211E-06  
   1.699045E+00     9.426598E-14     4.560244E-13     1.169654E-04     3.122327E-11     7.709178E-02     4.744378E-01     2.306904E-06  
   1.699453E+00     9.351564E-14     4.206048E-13     1.179547E-04     3.327101E-11     8.257497E-02     4.706995E-01     2.103529E-06  
   1.700065E+00     9.163236E-14     3.644092E-13     1.193642E-04     3.712005E-11     9.297321E-02     4.636017E-01     1.778786E-06  
   1.700880E+00     8.886700E-14     3.129008E-13     1.206617E-04     4.166227E-11     1.053800E-01     4.551515E-01     1.471437E-06  
   1.701696E+00     8.552320E-14     2.704694E-13     1.215921E-04     4.645013E-11     1.186170E-01     4.461294E-01     1.213911E-06  
   1.702491E+00     8.192230E-14     2.368871E-13     1.221848E-04     5.123126E-11     1.320045E-01     4.369945E-01     1.007707E-06  
   1.703263E+00     7.797819E-14     2.089472E-13     1.224939E-04     5.611965E-11     1.458724E-01     4.275746E-01     8.356023E-07  
   1.704115E+00     7.380992E-14     1.809029E-13     1.201564E-04     6.201316E-11     1.628245E-01     4.159883E-01     6.702539E-07  
   1.704814E+00     7.126923E-14     1.687211E-13     1.202206E-04     6.533171E-11     1.725454E-01     4.092829E-01     5.945054E-07  
